epoch,train_loss,train_acc,val_loss,val_acc
1,1.079395981101723,0.8150236859914279,0.21182386318639834,0.9145408163265306
2,0.19807618229525797,0.915858335213174,0.1279714425303498,0.9489795918367347
3,0.1485379037955478,0.9363861944507106,0.0887891422501024,0.9706632653061225
4,0.1273109760768199,0.9440559440559441,0.07098135990755898,0.9757653061224489
5,0.10884052273764208,0.949695465824498,0.06554477846211924,0.9770408163265306
6,0.10395618971834704,0.9483419806000452,0.06227178707224678,0.9783163265306123
7,0.10127355859856721,0.949695465824498,0.09320976581348449,0.9642857142857143
8,0.09629201219107694,0.9542070832393413,0.05798504580458512,0.9783163265306123
9,0.09783244537710202,0.949695465824498,0.05508420082303334,0.9821428571428571
10,0.08415389373585895,0.9722535528987142,0.05011607303369638,0.9846938775510204
